學年,學期,國家,學校,學院,學系
110年度,一學年,日本,東京外國語大學,文學院,日本語文學系
110年度,一學期,法國,巴黎第十三大學 (北巴黎大學),文學院,外國語文學系
110年度,一學年,日本,北海道大學,理學院,地理環境資源學系
110年度,一學年,日本,早稻田大學,文學院,日本語文學系
110年度,一學年,斯洛維尼亞,盧比安納大學,文學院,中國文學系
110年度,一學年,英國,薩塞克斯大學,文學院,歷史學系
110年度,一學年,荷蘭,阿姆斯特丹自由大學,文學院,戲劇學系
110年度,一學年,荷蘭,奈梅亨大學,社會科學院,政治學系
110年度,一學年,日本,青山學院大學,社會科學院,政治學系
110年度,一學年,法國,巴黎高等政治學院,社會科學院,政治學系
110年度,一學年,葡萄牙,波爾圖大學,社會科學院,政治學系
110年度,一學年,挪威,奧斯陸大學,社會科學院,經濟學系
110年度,一學年,澳大利亞,澳洲國立大學,生物資源暨農學院,森林環境暨資源學系
110年度,一學期,荷蘭,萊頓大學,生物資源暨農學院,生物產業傳播暨發展學系
110年度,一學期,加拿大,拉法爾大學,生物資源暨農學院,生物產業傳播暨發展學系
110年度,一學年,日本,國際教養大學,管理學院,國際企業學系
110年度,一學期,義大利,聖心天主教大學,生物資源暨農學院,生物產業傳播暨發展學系
110年度,一學年,加拿大,西門菲沙大學,文學院,中國文學系
110年度,一學年,德國,慕尼黑大學,管理學院,會計學系
110年度,一學年,法國,巴黎西大學農泰爾拉德芳斯 (巴黎第十大學),文學院,外國語文學系
110年度,一學年,澳大利亞,昆士蘭大學,文學院,外國語文學系
110年度,一學期,義大利,聖心天主教大學,文學院,外國語文學系
110年度,一學年,美國,加州大學,理學院,物理學系
110年度,一學年,美國,馬里蘭大學,理學院,物理學系
110年度,一學年,日本,東京大學,理學院,物理學系
110年度,一學年,瑞典,優密歐大學,生物資源暨農學院,農業化學系
110年度,一學期,瑞典,隆德大學,社會科學院,政治學系
110年度,一學年,芬蘭,赫爾辛基大學,社會科學院,經濟學系
110年度,一學期,瑞典,烏普薩拉大學,社會科學院,社會學系
110年度,一學年,法國,巴黎高等政治學院,社會科學院,政治學系
110年度,一學年,南韓,梨花女子大學,社會科學院,社會工作學系
110年度,一學期,荷蘭,馬斯垂克大學,醫學院,醫學檢驗暨生物技術學系
110年度,一學期,美國,加州州立大學,電機資訊學院,資訊工程學系
110年度,一學年,日本,筑波大學,生物資源暨農學院,農業經濟學系
110年度,一學期,瑞典,林雪平大學,生物資源暨農學院,農業經濟學系
110年度,一學年,荷蘭,葛洛寧恩大學,生物資源暨農學院,生物產業傳播暨發展學系
110年度,一學年,美國,天普大學,管理學院,會計學系
110年度,一學期,美國,加州州立大學,管理學院,會計學系
110年度,一學年,法國,巴黎高等政治學院,管理學院,會計學系
110年度,一學期,美國,天普大學,管理學院,會計學系
110年度,一學年,法國,里爾天主教大學,管理學院,會計學系
